Barcode,Product Name,Brand,Category,Ingredients,Allergens,Cross-Contaminants,Calories (kcal),Proteins (g),Fat (g),Carbohydrates (g),Available In,Labels,Nutrition Grade
8901207004391,Real Fruit Power Mango,Dabur,Fruit juices,"Water, Blend of Mango Pulp (25%)^, [Including Alphonso Mango Pulp (0.5%)] Sugar, Acidity Regulator (INS 330), Stabilizer (INS 440), Antioxidant (INS 300), Flavour (Nature Identical Flavouring Substances) and Colour [INS 160 a(iii)].
^THIS CONTAINS 25% MANGO JUICE CONTENT.",,,57,0,0,14.3,en:india,,e
8906133100063,Snacky,Karachi bakery,"Snacks,Sweet snacks,Confectioneries","Sugar, Cocoa Solids, Milk Solids, Edible Vegetables Oil, Say Lecithin, Hazelnut, Corn Flakes, Flour & Natural Flavours.",,,562,11,36,48.5,en:india,,e
8901499008701,Special K original,Kellogg's,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Rice (36.2%), Whole Wheat (33.2%), Sugar, Wheat Bran (4.7%), Liquid Glucose, lodized Salt, Cereal Extract, Vitamins, Mineral and Antioxidant (INS 320).",,,360,8.3,1,85.3,en:india,"en:vegetarian, en:green-dot-india",d
8902188801092,chilli powder,Ramdev,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Chilli powder, Groceries","Chilli powder, Refined palmolein edible oil.",en:Chilli,,435.01,14.12,19.33,51.14,en:india,,not-applicable
8904043551579,multgrain bread,modern,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads","Refined Wheat Flour (Maida), Whole Wheat Flour (Atta). Grains and Seeds Mix (Flax Seeds, Rolled Oats, Oat Flour, Maize Flour, Pumpkin Seeds, Bengal Gram Flour, Rice Flour, Barley Flour, White Sesame Seeds, Bajra, Sorghum), Sugar, Gluten, Yeast, Edible Vegetable Oil (Refined Palmoléin Oil), lodized Salt, Malt Product. Soya Flour, Preservatives (282, 200), Wheat Bran, Emulsifier (471), Acidity Regulator (260), Flour Treatment Agents (1100, 1102, 1104, 510) and Antioxidant (300). 'Other Grains Flour Mix - 10.7%",,,266,10.3,4.75,45.73,en:india,"en:vegetarian, en:green-dot-india",unknown
8906021129961,lemon pickle,aachi,"Plant-based foods and beverages, Plant-based foods, Pickles, Plant-based pickles, Lime Pickle","Lemon (79%), Salt, Edible Vegetable Oil - Refined Rice Bran Oil, Red Chilli Powder, Fenugreek, Mustard, Asafoetida, Turmeric Powder, Acidity Regulators - (INS 330 & INS 260) and Curry Leaves. CONTAINS PERMITTED CLASS II PRESERVATIVE INS 211",en:mustard,,136.8,2.7,8.8,11.7,en:india,"en:vegetarian, en:green-dot-india",e
8902080304349,7up 2.25,7up,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Colas",,,,47,0,0,11.7,en:india,,e
8906143891678,Whey Protein Isolate,The Wholetruth,"Dietary supplements,Bodybuilding supplements,Protein powders",,,,131.95,30.415,0.7,1.099,en:india,"en:vegetarian, en:green-dot-india, en:no-lactose",unknown
8906008350388,Ragi Malt,Manna,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de malt,en:Finger Millet flours","Sugar, Ragi (25%), Milk Solids (20%), Maltodextrin, Barley Malt extract, Cardamom CONTAINS PERMITTED NATURAL COLOUR - BETA CAROTENE (INS 160a (iii))","en:gluten,en:milk",,58,1.2,0.2,13,en:india,"en:vegetarian, en:green-dot-india",c
8901207050671,real,Dabur,fruit based beverages,"Water, Sugar, Mango Pulp (10%), Acidity Regulator (INS 330), Stabilizers (INS 412 & INS 466), Antioxidant (INS 300), Flavours (Nature Identical and Artificial Mango Flavouring Substances) and Colour (INS 110).",,,53,0.1,0,13.2,en:india,,e
8903363010025,Nutri Delite Muesli,Nutri Delite,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","OATS (16.9%), SUGAR, WHEAT FLAKES (14.3%), CORN GRITS (10.5%), DRIED PAPAYA (8.5%), BARLEY FLAKES (6.8%), RICE (6.3%), LIQUID GLUCOSE, BLACK RAISINS (5%), SLICED ALMONDS (5%), DRIED APPLE (4%), MALT, IODIZED SALT, NATURE DENTICAL FLAVOUR HONEY, CITRIC ACID (INS 330), SOYA LECITHIN (INS 322 (i), TOCOPHEROL (INS 307b).",,,413.1,8.7,7.9,76.8,en:india,"en:vegetarian, en:green-dot-india",d
8908018251389,Artos Drinking Water,Artos,"Beverages and beverages preparations,Beverages,Waters","TREATED WATER, MINERALS (2.8%) (SALTS OF MAGNESIUM, CALCIUM & SODIUM)",,,0,0,0,0,en:india,"en:vegetarian, en:green-dot-india",b
8908018963206,Lite Chiwda,"BABU,Laxminarayan",Snacks,"Riceflakes, Refined Groundnut Oil, Sugar, Vanaspati, Gram Flour, Asafoetida, Dry Mango Powder, Iodised Salt.",,,595,6.1,40.8,50,en:india,"en:vegetarian, en:green-dot-india",e
8906020581364,Protein Rich Dosa Batter,ID,"Idly batter mixes,Dosa batter mixes","RO-Purified Water (52%), Rice (27%), Protein Blend (Pea Protein Isolate, Soya Protein Isolate, Brown Rice Protein Isolate) (8.5%), Urad Dal, Rice Rava, Iodised Salt And Fenugreek.",,,88.68,7.62,0.16,14.19,en:india,"en:vegetarian, en:green-dot-india",a
8939111430166,Creatine Monohydrate,wellcore,"Dietary supplements, en:bodybuilding-supplements",,,,0,0,0,0,en:india,,unknown
8904335602392,Daily 10g Protein Bar,Yoga Bar,"Dietary supplements,Bodybuilding supplements,Protein bars","Dates 43%, Protein Blend 21% (Soy Protein Crisp & Whey Protein Concentrate), Cashew Paste, Dark Chocolate 12% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla), Cocoa Powder Cranberries, Chocolate Chips 2% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla). Contains Added Natural Flavours: Rosemary & Chocolate",,,199,10.9,5.3,26.9,en:india,"en:no-gluten, en:vegetarian, en:no-preservatives, en:green-dot-india",not-applicable
8901652142136,Butter Delite,priyagold,Biscuits,No ingredients available,,,520,9.12,25.82,19,"en:australia, en:india",,e
8901030831706,Mixed fruit Jam,"Kissan, Hindustan Unilever Limited",Mixed fruit jams,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR-E330, THICKENER-E440, 10DISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122 NUMBER OF SERVES PER PACK: APPROX. 25, PER SERVE: 20 g (1 Tbsp)",,,286.66666666667,0,0,70.666666666667,"en:canada, en:india",,unknown
4424477778877,Amway Nutrilite,Amway,"Beverages and beverages preparations,Beverage preparations","Sucrose, Whey Protein concentrate (14.6 %), Non Dairy Creamer, Cocoa Lecithinated (Cocoa Powder, Emulsifier {INS 322}), Soy Protein Isolate (5.10%) (Isolated Soy Protein, Emulsifier (INS 322(i)}), Dairy Whitener, Mineral Premix (4.3%) [Zinc sulphate, Ferrous sulphate, Sodium chloride, Magnesium phosphate dibasic, Potassium phosphate dibasic, Tribasic calcium phosphate, Diluent (Dextrose)], Bulking agent (Maltodextrin), Cocoa Powder, Natural Flavouring Substance (Chocolate and Vanilla), Salt, Vitamin Premix (0.2%) [Ascorbic acid, Bulking agent (Corn starch), Vitamin A acetate, Antioxidants (Tocoferol), Solubalizer (sorbitan oleate esters), Vehicle (Vegetable oil-Corn oil), Bulking agent (INS 414), Sugar, Carrier (INS 551), Thiamine mononitrate, Ergocalciferol, Riboflavin, Calcium pantothenate, Pyridoxine HCI, Folic acid, Cyanocobalamin, Diluent (Dextrose)], Nature Identical Flavouring Substance (Caramel &Cream), Natural Colour (INS 162).",,,101.22,4.15,2.38,15.8,en:india,"en:vegetarian, en:green-dot-india",unknown
8901648922827,Mother Dairy Super-T Milk,Mother Dairy,Milks,"Milk Solids, Vitamin A, Vitamin D2",en:milk,,56,3.1,3.1,4.8,en:india,,b
8901576003063,Butter Murukku,Modern Kitchens,"Snacks, Salty snacks","Rice, Urad Dal, Tapioca Powder, Nandini or Amul Butter, Salt, Refined Vegetable Oil, Sesame Seeds & Cumin Seeds",en:sesame-seeds,,120,3,5,15,en:india,"en:vegetarian, en:green-dot-india",unknown
8906135451736,organic apple cider vinegar,boldfit,"Condiments, Vinegars, Cider vinegars",Certified Organic Apple Juice Fermented to 4% Acidity,,,21.4,0,0,5.3,en:india,"en:vegetarian, en:green-dot-india, en:no-added-sugar, en:no-additives",not-applicable
7622201431594,Oreo Cream Biscuit,Cadbury,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Sandwich biscuit","Refined Wheat Flour (Maida), Sugar, Edible Vegetable Fat, Palmolein, Cocoa Solids (3%*), Invert Sugar, Leavening Agents [500(ii), 503(ii)], lodised Salt, Emulsifier (322). CONTAINS ADDED FLAVOUR (NATURE IDENTICAL FLAVOURING SUBSTANCES). Allergen information: Contains Wheat. May Contain Milk.",,,483,5.3,19.7,71.4,"en:india, en:united-states","en:vegetarian, en:vegetarian-society",e
8030853001833,olive oil,Frantoi Cutrera,extra-virgin olive oils,No ingredients available,,,824,0,91.6,0,en:india,en:pgi,b
8906009535159,7 Grain Breakfast Cookie Choco Almond,Max Protein,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Biscuit with a chocolate bar covering","Protein Blend 25% (High Protein Peanut Flour, Wheat Protein, Soy Protein Isolate, Whey Protein Concentrate), Dietary Fiber (Fructo-oligosaccharide), Rice Bran Oil, Millets, Cereals And Pulses Blend (Wheat Flour, Corn Flour, Oats Flour, Ragi Flour, Quinoa Flour, Amaranth Puffs, Roasted Chick Pea Flour), Almond Bits (8%), Cocoa Powder, Humectant (Glycerine), Binding Agents (Xanthan Gum, Gum Acacia), Leavening Agent (Baking Powder), Tricalcium Phosphate, Emulsifiers (Soy Lecithin), Salt, Psyllium Husk, Antioxidant (Rosemary Extract), Sweetener (Sucralose)","en:gluten,en:milk,en:nuts,en:soybeans,en:Cereals",,278,12,16.3,22.1,en:india,"en:vegetarian, en:green-dot-india, en:no-added-sugar",c
8904043901077,Salt LITE,TATA,"Condiments,Salts,Iodised salts","Edible Common Salt, Potassium Chloride, Anticaking Agents (INS 551, INS 536), Potassium lodate",,,0,0,0,0,en:india,"en:vegetarian, en:green-dot-india",not-applicable
8908000097933,Crunchy Muesli,Gaia,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis","Wheat Flakes (51.85%), Corn Flakes (15.18%), Rolled Oats (14.26%), Invert Sugar Syrup (7.06%), Almond, Green Raisins, Black Raisins, Honey, Liquid Glucose, Honey Powder, Antioxidant (E310)","en:gluten,en:nuts","en:gluten,en:nuts",418.68,12.13,6.32,78.32,en:india,"en:vegetarian, en:green-dot-india",b
8901262070546,Chocominis,Amul,Amul Dark Chocolate,"Sugar,Hydrogenated Editble Vegetable Fat,Milk Solids, Coco Solids,Permitted Emulsifiers(E492,E322)",en:milk,,526,5.3,29.3,61.1,en:india,"en:no-artificial-flavors, en:no-artificial-sweeteners, en:no-artificial-flavourings-or-sweeteners",e
8901030818660,Boost,Hindustan Unilever Limited,Beverages,"Cereal extract (49%) [Barley, Wheat, Millet), Malted Barley (Extracted solids) (21%), Sugar, Wheat Flour (Atta) (6.5%) Milk Solids (6%), Minerals, Wheat gluten, Natural Colour (INS 150 Acidity Regulators (INS 501, INS 500(ii)], Edible lodized Salt, Cocoa powder Vitamins, Soy Protein Isolate (0.28%), Nature-identical flavouring substances CONTAINS PERMITTED NATURAL COLOUR AND ADDED FLAVOUR (NATURE IDENTICAL FLAVOURING SUBSTANCES). 500100 Tengah +Based on an independent study conducted in 2009, the number of shuttles completed by Boost consuming children (aged 7-105 increased by 25% compared to 8% increase in children who consumed endurance. Study published in J Nutr. 141:2017-2023, 2011 fortified chocolate beverage, in a 20 m shuttle test measuring we A Boost is a nourishing beverage to be consumed as a part of your daily diet and exercise plan. PET",,,373,0,2.5,80,en:india,,unknown
8906120101653,California Almonds,Farmley,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Almonds,Whole nuts,Raw nuts",Almond Kernels (Badaam Giri),,,575,21.2,49.4,21.7,en:india,"en:vegetarian, en:100-natural, en:green-dot-india",unknown
8904335600732,Dark Chocolate Peanut Butter,Yogabar,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Breakfasts,Spreads,Nuts and their products,Plant-based spreads,Sweet spreads,Oilseed purees,Legume butters,fr:Pâtes à tartiner,Nut butters,Peanut butters,Chocolate spreads",,,,203,8.3,16.1,6.4,en:india,"en:vegetarian, en:no-preservatives, en:green-dot-india",c
15486196,Toned Milk,Nandini,"Dairies,Milks,Pasteurised milks","Milk Solids, Vitamin A & Vitamin D",,,60,3.3,3.1,4.8,en:india,,b
8901030902369,Knorr hot & sour veg soup,Knorr,Dehydrated soups,"Starch, Maltodextrin, Sugar, lodited Salt, (Dehydrated Vegetables (Onion (5.9%), Carrot Flakes (1.4%). Garlic Bits (1.1%) and Leeks (0.4%)) Hydrolyzed Vegetable Protein, Flavours-Nature Identical Flavouring Substances (Soya Sauce) Thickener-415, Spices & Condiments (Chillies (1.5%)), Hydrogenated Palm Oil, Food Colour-Caramel IV, Acidity Regulator-296, Anti caking agent - 551, Flavour Enhancer-627 & 631 Oleoresin Chill",,,33,0.5,0.3,7.3,en:india,,unknown
8906127550850,High protein super oats chocolate,Alpino Health Foods,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","Rolled Oats (61%), Unsweetened Peanut Butter (26%), Alpino Supernatural (TM) Peanut Protein, Cocoa Powder, Nuts & Seed Mix (Chia Seeds, Almonds, Raisins, Sunflower Seeds), Monk Fruit Extract",,,178,8.8,6.56,20.88,en:india,"en:no-gluten, en:no-preservatives, en:no-added-sugar",a
8904132948198,Campa Lemon,"Campa Cola,Reliance Industries",Lemon soft drinks,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331) PRESERVATIVE (211), NATURE IDENTICAL FLAVOURING SUBSTANCES",,,46,0,0,11.5,en:india,,e
8902979050906,kaju Butterscotch Milkshake,Cavin's,"Butterscotch-milkshake,Milkshakes","Toned Milk (89%), Sugar, Flavor (Nature Identical and Artificial (Kaju Katri) Flavoring Substances), Stabilizers (INS 415, INS 412, INS 407), Sequestrant (INS 451 (i)), lodized Salt, Cashew Powder (0.05%), Emulsifier (INS 436), Mineral and Vitamin premix (Zinc, Vitamin A and D), and Synthetic Food Color (INS 110). Allergen Advice: Contains Milk and Nut.",,,217.3,6,8.2,30,en:india,"en:vegetarian, en:green-dot-india",e
4897036691427,Monster Energy Drink 350ml,Monster,"Beverages, Energy drinks","CARBONATED WATER, SUCROSE, GLUCOSE ACIDITY REGULATORS (CITRIC ACID, SODIUM CITRATE), TAURINE (400 mg/100 ml), PRESERVATIVES (SORBIC ACID, BENZOIC ACID CAFFEINE (0.03%), COLOURS [(GRAPESKIN EXTRACT IN RIBOFLAVIN 101(1)), SWEETENER (SUCRALOSE), VITAMINS (83 812), GLUCURONOLACTONE, INOSITOL (2 mg/100 ml)",,,167,0,0,42,en:india,,e
8906032010982,Nutrela Soya Chunks,Nutrela,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Soy beans","Defatted Soy Once opened, transfer the contents into an airtight container. STORE IN A DRY PLACE. tity: A 1kg 0910% 0.8290390 VALUES IN BRACKET ARE % RDA PER SERVE. RECOMMENDED DIETARY ALLOWANCE CALCULATED ON THE BASIS OF",,,88,13,0.2,8,en:india,,b
8906021128414,Aachi Mixed Fruit Jam,Aachi,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams",,,,350.8,0.4,1,87.3,en:india,"en:vegetarian, en:green-dot-india",unknown
8901063410312,The Laughing Cow,BRITANNIA,"Dairies, Fermented foods, Fermented milk products, Spreads, Cheeses, Salted spreads, Cheese spreads",,,,236,11,20,5,en:india,"en:vegetarian, en:green-dot-india",d
8901058000702,Munch,Nestle,"Snacks, Salty snacks, Sweet snacks, Appetizers, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Crackers, Bars covered with chocolate","Sugar, Refined Wheat flour (Maida), Hydrogenated vegetable fat, Fractionated vegetable fat, Milk solids, Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (E 500(ii)), Yeast, iodised salt, Flour treatment agent (E 516), Artificial (Vanilla),Nature identical flavouring substances,Contains _Wheat_, _Sesame_, _Milk_ and _Soy_, May Contains _Nut_",,,435,6,23.4,50,en:india,"en:vegetarian, en:green-dot-india",e
0801541512775,Honey,Organic India,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys, Floral honey",Organic Honey Multi Floral,,,326.7,0.38,1.06,78.9,en:india,"en:vegetarian, en:green-dot-india",unknown
8906020580961,Onion Paratha By iD,iD,Frozen foods,,,,242.78,8.25,8.06,34.31,en:india,"en:vegetarian, en:no-preservatives, en:green-dot-india",d
8906011851025,Sesame Chutney,Katdare,"Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Chutneys,Sesame-chutney","Sesame,
Dry coconut,
Red chilli,
Iodised salt",en:sesame-seeds,,490.16,24.06,27.08,37.55,en:india,"en:vegetarian, en:green-dot-india",c
8901058897159,Milkybar,Nestlé,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolates, White chocolates","Milk solids (35%), Sugar, Hydrogenated vegetable fats, Fractionated vegetable fat, Emulsifier (_Soya lecithin_) and Nature-Identical flavouring substance. Contains _Milk_, _Sesame_ and _Soy_.  May Contains Wheat.",,,497,11.1,27.3,51.6,en:india,,e
8906002001156,Peanut butter creamy,Dr.Oetker FunFood,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, en:nut-butters",,,,641.5,26.3,51,19.3,en:india,,unknown
7622202237942,Cadbury dairy milk,Cadbury,Milk chocolate bar,"Chocolate grements: Sugar, Cocoa Butner, Milk Solids (19%*) Cocoa solids, Emulsifiers (442. 476), Flavours (Natural Nature Identical and Arofical (Caramel and Vanilla flavouring) Schstances) 

Allergen Information: Contains Milk, Sulphite May Contain Tree Nuts, Wheat, Barley and Soy",,,526,6.8,28,62.6,en:india,,e
8906024480311,toned milk,Dodla,"Dairies, Milks, Pasteurised milks, Toned milk","Milk solids, Vitamin A (Retinyl Palmitate) and Vitamin D (Ergocalciferol)",,,59,3.1,3,4.8,en:india,"en:vegetarian, en:green-dot-india",b
7622202051685,Tang Mango,Tang,beverages,,,,389,0.1,0,96.7,en:india,"en:vegetarian, en:green-dot-india",e
8906008811902,Pro Immunity Multi-source Edible Oil,Fortune,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Fats, Cereals and their products, Vegetable fats, Vegetable oils, Sunflower seeds and their products, Cereal oils, Sunflower oils, Rice bran oils","Physically Refined Rice Bran Oil (80%), Refined Sunflower Oil (20%), Permitted Antioxidants TBHQ (E-319) & Citric Acid (E-330), Permitted antifoaming agent DMPS (E-900a), Vitamins A & D",,,900,0,100,0,en:india,"en:vegetarian, en:green-dot-india",d
8906020461185,Suji Rusk,Harvest Gold,Toasts,"Refined Wheat Flour (Maida) (71.4%), Sugar, Edible Vegetable Oil (Refined Palmolein Oil and Refined Rice Bran Oil), Yeast, Suji (2.14%), Invert Sugar Syrup, lodized Salt, Gluten, Food Color (150a), Cardamom Seeds (0.32 %), Emulsifier {472e and 481(i)}, Soya Flour, Nature Identical Flavoring Substance, Flour Treatment Agent {1100(i)}, Xylanase and Antioxidant (300). (Numbers referred above are as per the International Numbering System) CONTAINS WHEAT AND SOYA INGREDIENTS Store in cool, dry & hygienic conditions, away from direct sunlight. Handle gently.",,,443.6,9.21,10.71,77.59,en:india,,e
8902080104024,Pepsi cola,Pepsico,"Beverages,Carbonated drinks,Sodas,Colas",,,,43,0,0,10.9,en:india,,unknown
8902433003134,Butterscotch Flavour,Snickers,Filled chocolates,"Milk Chocolate coating (35%): Sugar, Milk solids, serve (%) Cocoa butter, Cocoa solids. Edible vegetable fat &lt;5% (Sal fat, Palm oil), Dextrose, Emulsifier (322). Centre filling (65%): Peanuts (23%), Liquid glucose, Sugar, Hydrogenated vegetable oil (Palm oil), Milk solids, lodized salt, Cocoa butter, Cocoa solids, Edible vegetable fats &lt;5% (Sal fat, Palm oil), Dextrose, Nature identical flavour (Butterscotch), Emulsifier (322). 20 5* CONTAINS VEGETABLE FAT IN ADDITION TO COCOA BUTTER. Contains Milk, Peanut and Soy. May contain treenuts.",,,501,9.9,26.6,56.3,"en:france, en:india","en:vegetarian, en:green-dot-india",e
8908020889112,Iyengar Puliogare Masala,Iyengar,Condiments,"Tamarind, Jaggery, Black Till, Dry Coconut, Pepper, Jeera, Ground nut, Dry Chilli, Mustard, Methi, Coriander seed, Gram Dhal, Urid Dhal, Om seed, Asafoetida, Curry leaf, Turmeric, Vegetable oil & Salt",,,393.88,22.44,19.96,41.12,en:india,"en:vegetarian, en:green-dot-india",unknown
8904132918351,Get real Coconut Oil,Get Real,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils, Fruit and fruit seed oils, Coconut oils",COCONUT OIL,,,900,0,100,0,en:india,,unknown
8906036676290,Santhrupthi Milk,Nandini,Milks,,,,89,3.5,6.1,5.1,en:india,,d
8904264000627,Sparsh Lime Pickle,Sparsh,Pickles,,,,130,3,19,11,en:india,"en:vegetarian, en:green-dot-india",unknown
